type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
0,-0.0028814817778766155,0.0016823653131723404,-0.008612237870693207,-0.014146794565021992,0.013170828111469746,-0.009992429986596107,-0.0021172789856791496,0.014852697029709816,-0.015187454409897327,-0.009747928939759731,-0.0015217477921396494,-0.003767099231481552,0.013883932493627071,-0.0034417910501360893,0.0034129214473068714,0.015821143984794617,-0.000212459999602288,-0.012030281126499176,-0.01420638058334589,0.007211248856037855,0.013670330867171288,0.0020174074452370405,-0.0031165408436208963,0.0018466372275725007,-0.007653114385902882,-0.005699221044778824,0.0019274090882390738,0.010518676601350307,0.005259710829705,0.0014417946804314852,-0.009514108300209045,0.0077875396236777306
1,0.0022894982248544693,-0.008302106522023678,-0.007134309504181147,0.014754127711057663,0.003436712548136711,-0.009955811314284801,-0.005498087499290705,-0.010291649959981441,0.014899765141308308,-0.005473834462463856,-0.0010933808516710997,0.010763423517346382,0.011099708266556263,-0.007221684791147709,-0.00018979536253027618,0.004694145172834396,-0.0007152612670324743,0.004273999482393265,-0.011448719538748264,0.009427453391253948,-0.001027501537464559,-0.006781138014048338,0.00540553405880928,0.014817486517131329,-0.0055803838185966015,0.007302090525627136,0.002228850033134222,0.015894504263997078,-0.00046736185322515666,-0.012950086034834385,0.013273114338517189,0.015388806350529194
2,0.0014755071606487036,0.005336626432836056,-0.015305926091969013,0.00961895938962698,0.001507253386080265,-0.008763170801103115,-0.006191262509673834,0.004428928252309561,-0.0029470503795892,0.014614841900765896,0.00110860844142735,-0.011623205617070198,0.013257520273327827,0.01307661458849907,0.005610590800642967,-0.0035634897649288177,-0.0033205098006874323,-0.004923396743834019,0.0027370627503842115,-0.0030190881807357073,-0.01617531105875969,-0.00881032831966877,-0.01484466902911663,0.011240871623158455,-0.004016126040369272,-0.004796180408447981,-0.011158273555338383,0.014314325526356697,-0.005045577418059111,-0.006318475119769573,0.0032978674862533808,-0.0004726577899418771
3,0.0023235830012708902,-0.004757525399327278,-0.002977217547595501,-0.005045897793024778,-0.014283883385360241,-0.011305517517030239,0.002140390919521451,-0.013230042532086372,-0.008767050690948963,0.014977389015257359,-0.0024426127783954144,0.007382200565189123,-0.006698600482195616,-0.006587089505046606,0.0035768405068665743,0.00800036545842886,-0.011628246866166592,-0.014616764150559902,0.008189520798623562,0.0010871606646105647,-0.01477187592536211,0.01522294245660305,-0.009989172220230103,0.0010660147527232766,0.007120587397366762,-0.011602074839174747,0.008240344002842903,-0.001609738334082067,-0.00364988436922431,0.0012965850764885545,-0.00895756483078003,0.01593135856091976
4,0.009796571917831898,-0.010661430656909943,-0.007205980829894543,0.016168853268027306,-0.011714765802025795,-0.0037282465491443872,-0.001907729310914874,-0.0015666562831029296,-0.005864725448191166,0.010581692680716515,0.010599907487630844,0.012540550902485847,0.011651567183434963,-0.0032991021871566772,-0.002941025421023369,-0.0009817777900025249,0.009840832091867924,-0.014015036635100842,0.0024996765423566103,0.004424110520631075,-0.015375220216810703,0.010587425902485847,-0.012358391657471657,0.010089825838804245,-0.006676585413515568,0.010097857564687729,0.00020883222168777138,-0.00571473129093647,0.014006562530994415,-0.007059020455926657,0.006807730998843908,0.011536558158695698
5,-0.0017998524708673358,-0.014365839771926403,-0.015547044575214386,-0.003153851954266429,-0.00040569761767983437,0.01096750982105732,0.004556926432996988,0.010511464439332485,0.004438049625605345,0.0071599455550313,0.0026939816307276487,0.013095799833536148,0.00025898628518916667,-0.009640933014452457,-0.005514407996088266,0.005113084800541401,0.009196402505040169,-0.002560121938586235,0.0007307020714506507,0.0024718521162867546,-0.011139918118715286,-0.006807052530348301,0.002816425869241357,-0.004948149435222149,0.00865879375487566,-0.0062651620246469975,-0.015628712251782417,0.0042021567933261395,-0.0021056027617305517,0.014464116655290127,0.013461310416460037,0.005498679354786873
6,0.013483516871929169,0.0010856582084670663,0.008418760262429714,0.0052141291089355946,0.010686530731618404,0.001338447560556233,-0.0024317854549735785,0.004830738063901663,0.007631928194314241,0.00999875646084547,0.0037180825602263212,0.0153189767152071,0.014636221341788769,0.0015594487776979804,-0.00383552722632885,0.013985902070999146,-0.013732030987739563,-0.009106519632041454,0.011431182734668255,0.011210219003260136,0.012470544315874577,0.01638842187821865,-0.007276750169694424,0.0028987638652324677,0.009098317474126816,-0.008755331858992577,-0.014352617785334587,0.009642049670219421,0.006608118303120136,-0.0011538236867636442,0.012122753076255322,0.002291542710736394
7,-0.011188683100044727,-0.005183674860745668,-0.0069322893396019936,0.00397823192179203,0.003226605011150241,-0.013288312591612339,-0.01513808686286211,-0.0026743884664028883,-0.013339766301214695,-0.007792331278324127,0.006402159575372934,-0.008693543262779713,-0.0033966409973800182,0.013311904855072498,0.0024138614535331726,-0.003522150916978717,0.00799205806106329,-0.014091267250478268,0.0028267253655940294,-0.007318262942135334,0.004880618769675493,0.004245396237820387,0.013632730580866337,-0.011547709815204144,0.003116569947451353,0.013972640037536621,0.01000360120087862,0.004113966133445501,-0.013167190365493298,-0.0010499502532184124,-0.010225094854831696,-0.0036776575725525618
8,0.009222936816513538,0.0031653055921196938,0.0006503098411485553,0.0018739444203674793,-0.011190815828740597,0.0007006473606452346,-0.014012490399181843,0.010539346374571323,0.001493921154178679,0.009214908815920353,0.013464948162436485,0.014697983860969543,0.00638700881972909,0.012809687294065952,-0.002501477487385273,-0.010762604884803295,-0.0014065670548006892,-0.011365487240254879,0.014368242584168911,-0.012684641405940056,0.013293882831931114,0.006773197092115879,0.00865025632083416,-0.011460365727543831,-0.006480811163783073,-0.015472752042114735,0.004440716467797756,0.007812888361513615,0.0019216603832319379,0.005645803175866604,-0.006973047740757465,-0.012730251997709274
9,-0.007232080679386854,0.001835020724684,2.467275771778077e-05,0.01106314081698656,-0.016257449984550476,0.014294357039034367,0.011220494285225868,-0.005704449489712715,0.011181183159351349,0.004461443983018398,0.0055034649558365345,0.014389893971383572,0.007422237657010555,0.0007075525354593992,-0.00934576615691185,0.008759125135838985,-0.01565413922071457,-0.0057419417425990105,0.010598541237413883,0.006600084714591503,-0.008089468814432621,-0.0034285399597138166,0.0083462567999959,0.0007838880992494524,0.010554655455052853,-0.008833574131131172,0.006810679100453854,0.004748102743178606,0.004589401185512543,0.008615078404545784,-0.0032514515332877636,-0.000846829847432673
